change_v1,change_v2,change_w0,change_w1,change_time,query_v1,query_v2,query_time,neo4j_update_time,neo4j_project_time,neo4j_query_time,neo4j_drop_time
55838,299058,100.0,797.951,0.400705,319327.0,1051147.0,7.9e-05,0.3703972930088639,0.1270951540209353,1.980065485928208,0.0483037671074271
185682,599045,99.0,42.237,0.987871,1091641.0,212669.0,0.000169,0.1079915151931345,0.015821523964405,0.5960352728143334,0.0148573108017444
77350,79827,100.0,547.417,3.250986,533581.0,39394.0,9e-06,0.0908831660635769,0.0151213877834379,0.5052779479883611,0.0130785480141639
296629,407493,96.0,44.725,1.541243,756709.0,779113.0,0.000183,0.0887548550963401,0.0120877539739012,0.4876644778996706,0.0123876580037176
491212,509914,94.0,838.441,0.651882,1359062.0,1212816.0,0.000212,0.0883671278133988,0.0127968275919556,0.4559048479422927,0.013187563046813
1443,135116,100.0,13.078,0.084435,520641.0,829072.0,7.7e-05,0.092064538039267,0.0121450498700141,0.4669647892005741,0.0126411761157214
1959,14131,98.0,640.523,0.28818,905997.0,53889.0,6.9e-05,0.0881180828437209,0.0121244266629219,0.456982216797769,0.0130403288640081
208312,707237,100.0,26.727,1.446051,98192.0,235189.0,8e-06,0.0893058469519019,0.0122589478269219,0.4868662417866289,0.0125782759860157
1131,73278,100.0,869.176,18.902182,864146.0,277239.0,9.2e-05,0.0912337619811296,0.0119537967257201,0.4791840352118015,0.0120265688747167
242519,1069584,100.0,21.319,1.103644,239963.0,1365354.0,9.1e-05,0.0873551103286445,0.0116222877986729,0.462001945823431,0.0122174327261745
586082,900185,100.0,679.465,1.311169,705014.0,747877.0,0.00022,0.0948117971420288,0.0116221341304481,0.4573183474130928,0.0126601969823241
142865,215948,99.0,11.199,53.356031,1149394.0,495016.0,3.6e-05,0.0888430257327854,0.0123341483995318,0.4699492510408163,0.0114706489257514
795626,922721,100.0,630.348,71.258343,921437.0,504584.0,0.000151,0.0887968461029231,0.0112762786448001,0.4751051370985806,0.0117553528398275
136424,532824,100.0,19.677,0.281198,43636.0,725045.0,4.4e-05,0.0880663488060236,0.0109736141748726,0.4723928798921406,0.0116432649083435
158013,584075,100.0,649.045,0.221218,704605.0,763022.0,8.2e-05,0.0889376639388501,0.01073814695701,0.475726671051234,0.0111889992840588
129405,236988,100.0,39.92,1.363997,851830.0,1343094.0,0.000267,0.0920820580795407,0.0109349959529936,0.4690960142761469,0.0110061173327267
536232,545832,94.0,703.404,3.442257,91545.0,382887.0,5.6e-05,0.0884652179665863,0.0099724261090159,0.4698598580434918,0.011319818906486
1660,6029,100.0,43.743,2.754966,817501.0,1280400.0,0.000308,0.089102953672409,0.0105359503068029,0.4772633439861238,0.0108076846227049
403062,670351,100.0,888.502,11.844842,1370169.0,843626.0,7.3e-05,0.0884662098251283,0.0102217155508697,0.5299414182081819,0.0111434403806924
12,462,98.0,42.502,1.180162,1206552.0,1023547.0,0.000439,0.0890879561193287,0.0104322121478617,0.4763533100485801,0.0109305446967482
1656,164315,100.0,840.085,5.280516,1386147.0,28530.0,2.7e-05,0.088448473252356,0.0102007291279733,0.4731866400688886,0.0107937180437147
658431,797458,100.0,39.449,8.85362,107240.0,498283.0,3.2e-05,0.0891089690849185,0.0096669280901551,0.480583552736789,0.0112172039225697
471,2457,99.0,764.554,0.002196,1258011.0,625587.0,0.000289,0.0914144050329923,0.0096849929541349,0.4850427838973701,0.0108591970056295
177744,624960,100.0,43.416,0.649196,1300023.0,847936.0,0.000412,0.0902983830310404,0.009335845708847,0.482021409086883,0.0104794278740882
82234,395067,99.0,716.368,2.658951,884340.0,973804.0,0.000258,0.0883615561760962,0.0095838899724185,0.4846218968741596,0.0103225568309426
929,52630,100.0,28.526,0.89813,662979.0,1385093.0,9.4e-05,0.0903762220405042,0.009569494985044,0.4913333682343364,0.009529257658869
595045,658345,100.0,916.735,1.150924,684743.0,1388995.0,0.000165,0.0871683871373534,0.0089154229499399,0.4592087790369987,0.0095313913188874
204543,693985,100.0,37.378,0.493284,644686.0,137177.0,3.3e-05,0.0860766698606312,0.0089332442730665,0.4529111399315297,0.0104882437735795
365344,1059648,94.0,333.672,0.925542,1206626.0,481376.0,4.9e-05,0.0872360118664801,0.0091289486736059,0.4572045421227813,0.0092621971853077
556526,767075,100.0,46.569,0.531381,1048831.0,917323.0,0.000148,0.0862928018905222,0.0081125660799443,0.4470336330123245,0.0089789303019642
243110,935989,99.0,240.412,0.498825,938365.0,1282830.0,0.000148,0.0865702820010483,0.0082306880503892,0.4499846789985895,0.0089167887344956
308105,444345,100.0,26.503,0.238522,1200089.0,646853.0,0.000144,0.0857029072940349,0.0099644823931157,0.4576385957188904,0.0092223538085818
76362,180913,100.0,578.443,1.119591,1205121.0,1173214.0,3.8e-05,0.0875821099616587,0.0083918049931526,0.4580104099586606,0.0094536668621003
261033,1155467,98.0,46.538,0.079796,47494.0,902841.0,2.1e-05,0.086719577666372,0.0082261473871767,0.4544205227866769,0.009271876886487
58461,233800,98.0,265.998,2.244445,620050.0,668796.0,0.000118,0.0858612121082842,0.0081448582932353,0.4500316097401082,0.009136154782027
133536,522657,98.0,20.994,0.094224,999504.0,1224475.0,0.000286,0.086157641839236,0.008345924783498,0.4545396999455988,0.0093312477692961
1256,95666,100.0,675.681,0.243469,1048858.0,1325894.0,0.000158,0.0865885182283818,0.0086818719282746,0.4688462158665061,0.0092030623927712
202484,681661,100.0,20.699,0.920793,1217644.0,1169340.0,0.000498,0.0864906129427254,0.0083852857351303,0.459436803124845,0.0088235531002283
175698,621347,100.0,314.615,0.754436,1064734.0,1044971.0,0.00031,0.0871719061397016,0.0080274706706404,0.4514938332140445,0.0094388797879219
512,10705,99.0,10.462,0.839038,588033.0,1109772.0,0.00015,0.0889258501119911,0.0083805043250322,0.4591093268245458,0.0092280893586575
488715,636198,96.0,523.899,3.390985,840584.0,506689.0,0.000281,0.0888946363702416,0.0086142159998416,0.4525017836131155,0.0096550583839416
774117,1060845,96.0,29.79,0.53383,694052.0,446013.0,0.000159,0.0876936549320817,0.0087835201993584,0.4560567121952772,0.0098978988826274
1839,156993,99.0,410.998,1.094623,799917.0,742874.0,0.000374,0.087513857986778,0.0083814659155905,0.4505525371059775,0.0091805630363523
489257,1040766,100.0,40.069,2.163898,892956.0,24409.0,7.6e-05,0.0880764918401837,0.0085354400798678,0.6587556572631001,0.0089996750466525
337897,393803,100.0,288.284,0.469372,829790.0,1048862.0,5.1e-05,0.0889404760673642,0.0084011643193662,0.4568835799582302,0.0092594879679381
174773,618419,100.0,30.428,0.262447,1219076.0,535521.0,0.000435,0.0887819649651646,0.008345671929419,0.4541182070970535,0.0096127521246671
136471,533173,100.0,539.863,0.830975,13372.0,407604.0,5.7e-05,0.0883106789551675,0.0090218968689441,0.4544306979514658,0.0089883180335164
341210,1314981,100.0,35.958,0.405964,367409.0,32542.0,2.3e-05,0.088217157870531,0.0081696319393813,0.4553961511701345,0.0090490728616714
76413,370425,100.0,841.882,0.707223,890190.0,373000.0,0.000128,0.0875678472220897,0.0083037498407065,0.4611643538810313,0.0090310890227556
38088,38542,99.0,11.616,0.049675,1040224.0,449890.0,0.000161,0.0864665447734296,0.0078013022430241,0.4636922581121325,0.0091183567419648
335,8068,98.0,958.73,0.036082,1056026.0,348843.0,0.000111,0.0889326212927699,0.0131956879049539,0.4610616322606802,0.0091391303576529
1734,148977,99.0,26.027,0.11095,1068063.0,136921.0,0.000245,0.0891544888727366,0.0081131658516824,0.453651653137058,0.0093454900197684
234609,1046056,100.0,545.903,0.142952,1084039.0,1216869.0,0.000192,0.0880784038454294,0.0083187250420451,0.4502637479454279,0.0091308802366256
2079,222446,100.0,40.251,0.190559,52407.0,576147.0,6e-05,0.0876216730102896,0.0080532766878604,0.4569942113012075,0.010037797037512
37644,161258,100.0,722.862,1.073863,410278.0,434471.0,0.000149,0.0884766369126737,0.0083790179342031,0.4539905129931867,0.0091517930850386
770618,949685,94.0,46.58,0.605832,784089.0,207397.0,2.3e-05,0.0884570530615747,0.0150052602402865,0.4655559076927602,0.0093667870387434
118,1452,97.0,707.102,0.979764,235054.0,703053.0,0.000189,0.087764024734497,0.0085945837199687,0.4541876344010234,0.009338182862848
195727,278419,100.0,20.774,1.730643,251945.0,1372547.0,0.000103,0.0873398040421307,0.0079966089688241,0.4587524980306625,0.0088858120143413
584944,1354710,100.0,311.996,0.957044,1334930.0,194315.0,7.5e-05,0.087509439792484,0.0081469197757542,0.4602950098924339,0.0091461590491235
236349,1116155,99.0,20.779,0.788524,165952.0,1036757.0,2.2e-05,0.0881100078113377,0.0081626148894429,0.4497837987728417,0.0087450030259788
23025,23104,98.0,582.311,0.011706,865224.0,136724.0,2.7e-05,0.0891312663443386,0.0082516362890601,0.4619646510109305,0.0087284790351986
295132,302134,100.0,32.937,0.910212,601593.0,975475.0,0.000146,0.0914662149734795,0.0081670731306076,0.4483824800699949,0.0158711713738739
238162,1072080,100.0,970.836,0.28183,1134874.0,899924.0,0.000162,0.0876333662308752,0.0080506280064582,0.4534468329511583,0.0090164779685437
